Power station name,Installed capacity,Accreditation start date
Waikiki - Solar - WA,0.1996,11/06/2024
PAMS Newman - Solar - WA,0.1508,10/06/2024
Manningham Civic Centre - Solar wSGU - VIC,0.205,7/06/2024
Melbourne Gateway Facility - Solar - VIC,0.1996,7/06/2024
Goodman AU184 Oakdale West EBOS 3C2 - Solar w SGU - NSW,0.5,6/06/2024
Southport Sharks - Solar w SGU - QLD,0.3319,5/06/2024
Foreshore Hotel - 195.8kW - Solar w SGU - TAS,0.1958,4/06/2024
NSW Ports Enfield H2 Rooftop - Solar - NSW,0.3387,4/06/2024
Collins Transport Eastern Creek - Solar - NSW,0.4388,3/06/2024
National Cricket Centre - Solar wSGU - Qld,0.2851,3/06/2024
DiMauro Group Parabanks Shopping Centre - Solar- SA,0.85,3/06/2024
Bishop Druitt College - Solar W/SGU - NSW,0.2108,3/06/2024
CCA Richlands 2 - Solar w SGU- QLD,0.2332,31/05/2024
200B-Solar-NSW,0.251,31/05/2024
HERTZ AIRPORT (BRIS) - SOLAR - QLD,0.293,29/05/2024
Minnippi Quarter - Solar w SGU - QLD,0.199,29/05/2024
Sun Spot 3 Pty Ltd - Solar - Vic,90.099,28/05/2024
Woolworths Glendale 1172 - Solar - NSW,0.4784,27/05/2024
Taminga Phase 1- Solar - SA,0.5454,24/05/2024
Menangle Race Club - Solar w SGU - NSW,0.1908,23/05/2024
BEVCHAIN - SOLAR w SGU - VIC,0.934,22/05/2024
Uniting Alroy House - Solar w SGU - NSW,0.1997,20/05/2024
RK & JR GORDON - Solar - VIC,0.102,20/05/2024
Dexus Nike - Solar W SGU - VIC,1,19/05/2024
Murrumba Downs - Solar wSGU - QLD,0.35,18/05/2024
Region Group Kalamunda - Solar - WA,0.6902,17/05/2024
Agile Energy - Calvary Muswellbrook - 180kW Solar w SGU- NSW,0.18,17/05/2024
Kathleen Valley Power Station - Solar - WA,17.0829,17/05/2024
Kathleen Valley Power Station - Wind - WA,30,17/05/2024
EAST CESSNOCK BOWLING CLUB - Solar w SGU - NSW,0.1997,15/05/2024
Woolworths Ashfield North 1813 - Solar - NSW,0.3514,14/05/2024
Signature Care Tamworth Community Aged Care - Solar W SGU - NSW,0.2,13/05/2024
FWLHD Broken Hill Hospital - Solar - NSW,0.7497,13/05/2024
MEL8 - SOLAR - VIC,1.1384,9/05/2024
Thunderbox - Solar - QLD,0.2106,9/05/2024
St Andrews Ipswich Private Hospital-Solar-QLD,0.2448,8/05/2024
BOX HILL SHOPPING CENTRER - 624.68 kW Solar w SGU - NSW,0.6247,8/05/2024
Newington College - Solar w SGU - NSW,0.2508,7/05/2024
Wingfield Asphalt Plant - Solar w SGU - SA,0.1398,2/05/2024
Bunnings Traralgon - Solar - VIC,0.17,1/05/2024
Bunnings Campbelltown - Solar - NSW,0.46,1/05/2024
Bunnings North Penrith - Solar - NSW,0.28,1/05/2024
Bunnings Kembla Grange - Solar - NSW,0.48,1/05/2024
Mt Zero WTP 96021 - Solar w SGU - VIC,0.2897,24/04/2024
Ouyen Rural WPS 96018 - Solar w SGU - VIC,0.1997,24/04/2024
Jalna Feedlot - Solar w SGU - VIC,0.243,24/04/2024
North Star Junction - Solar - WA,117.2701,24/04/2024
Alsco - Solar - WA,0.2145,24/04/2024
Borthistle Rd Gunnedah - Solar w SGU - NSW,0.2001,23/04/2024
Linfox Willawong - Solar - QLD,0.7515,22/04/2024
Anderson Dr Beresfield - Solar w SGU - NSW,0.166,22/04/2024
