DUID,Energy Produced (MWh),Realised Usage (MW)
TORRB2,513201.08,58.58459817
TORRB3,572411.59,65.34378881
TORRB4,403498.3533,46.06145586
TREVALLN,437296.8058,49.91972669
TRIBUTE,238129.5492,27.18373849
TUMUT3,583015.3394,66.55426249
TUNGATIN,573016.9667,65.41289574
TVCC201,435080.815,49.6667597
TVPP104,59977.27108,6.846720443
UPPTUMUT,1687291.19,192.6131495
URANQ11,99746.56108,11.38659373
URANQ12,95204.9385,10.86814366
URANQ13,111457.4715,12.72345565
URANQ14,107226.2862,12.24044363
VP5,3354892.389,382.9785832
VP6,4227157.577,482.5522348
VPGS1,3514.678667,0.401219026
VPGS2,3030.39025,0.34593496
VPGS3,3222.608333,0.367877664
VPGS4,2146.86925,0.245076398
VPGS5,1214.283,0.138616781
VPGS6,2411.499917,0.275285379
W/HOE#1,32535.18275,3.714061958
W/HOE#2,51024.845,5.824753995
WATERLWF,399337.2741,45.58644682
WAUBRAWF,642748.4305,73.3731085
WEMENSF1,7368.604167,0.841164859
WGWF1,21902.69117,2.500307211
WHITSF1,31331.84758,3.576694929
WKIEWA1,75885.85833,8.662769216
WKIEWA2,59885.34167,6.836226218
WOODLWN1,150237.1324,17.15035758
WOOLNTH1,510649.7838,58.29335432
WPWF,265466.5072,30.3043958
WRSF1,3211.828167,0.366647051
WRWF1,520614.124,59.43083607
YABULU,177934.635,20.31217295
YABULU2,63708.50042,7.272659865
YAMBUKWF,89176.96267,10.18001857
YARWUN_1,1204061.851,137.449983
YSWF1,83774.612,9.563311872
YWPS1,2630401.382,300.2741304
YWPS2,2796800.369,319.2694485
YWPS3,1921664.001,219.3680366
YWPS4,2842907.037,324.5327668
